City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
82,Puerto Escondido,MX,15.85,-97.07,86.0,70,40,9.17,scattered clouds
83,Bredasdorp,ZA,-34.53,20.04,60.8,87,70,8.05,broken clouds
84,Lagos,NG,6.58,3.75,76.05,89,76,3.78,broken clouds
85,Isabela,PH,6.71,121.97,80.35,81,74,4.36,broken clouds
86,Bathsheba,BB,13.22,-59.52,86.0,70,20,12.75,few clouds
87,Saint-Joseph,RE,-21.37,55.62,73.4,78,90,16.11,overcast clouds
88,Constitucion,CL,-35.33,-72.42,51.53,58,3,15.23,clear sky
89,Sao Joao Da Barra,BR,-21.64,-41.05,78.8,78,40,20.8,scattered clouds
90,Dongsheng,CN,39.82,109.98,28.98,78,0,13.98,clear sky
91,Looc,PH,12.26,121.99,79.88,84,100,5.93,moderate rain
92,Pevek,RU,69.7,170.31,31.53,98,100,4.76,overcast clouds
93,Blythe,US,33.61,-114.6,102.0,5,1,3.36,clear sky
94,Matadi,CD,-5.82,13.45,80.46,70,77,8.88,broken clouds
95,Mantua,IT,45.17,10.78,57.99,72,44,1.01,scattered clouds
96,Kuytun,RU,54.34,101.5,28.18,89,90,4.41,overcast clouds
97,Ville-Marie,CA,47.33,-79.43,42.8,70,90,4.7,overcast clouds
98,Barrow,US,71.29,-156.79,33.8,93,90,9.17,mist
99,Plettenberg Bay,ZA,-34.05,23.37,57.4,88,67,5.08,broken clouds
100,Beringovskiy,RU,63.05,179.32,36.77,94,100,16.91,overcast clouds
101,Vaini,TO,-21.2,-175.2,71.6,100,90,11.41,light rain
102,Pietersburg,ZA,-23.9,29.47,60.8,93,11,8.05,few clouds
103,Jamestown,US,42.1,-79.24,55.99,54,90,12.75,overcast clouds
104,Okato,NZ,-39.2,173.88,57.0,74,86,11.01,overcast clouds
105,Sept-Iles,CA,50.2,-66.38,52.0,66,75,8.05,broken clouds
106,Great Bend,US,38.36,-98.76,75.0,33,1,18.34,clear sky
107,Georgetown,MY,5.41,100.34,78.8,94,20,2.24,few clouds
108,Thompson,CA,55.74,-97.86,42.8,60,75,8.05,broken clouds
109,Mataura,NZ,-46.19,168.86,48.99,95,100,13.0,light rain
110,Kudahuvadhoo,MV,2.67,72.89,80.19,78,100,11.56,moderate rain
111,Solnechnyy,RU,50.72,136.63,43.11,92,100,2.33,light rain
112,Lompoc,US,34.64,-120.46,87.8,53,1,13.87,clear sky
113,Nara,JP,34.69,135.8,71.01,88,75,2.24,broken clouds
114,Inta,RU,66.03,60.17,31.33,96,11,7.34,few clouds
115,Catamarca,AR,-28.47,-65.79,66.0,46,80,5.01,broken clouds
116,Tasiilaq,GL,65.61,-37.64,30.2,92,0,4.18,clear sky
117,Upernavik,GL,72.79,-56.15,32.41,91,77,11.52,broken clouds
118,Nanortalik,GL,60.14,-45.24,35.56,86,88,10.78,overcast clouds
119,Bambous Virieux,MU,-20.34,57.76,71.6,88,40,3.36,scattered clouds
120,Santa Cruz Cabralia,BR,-16.28,-39.02,78.8,65,40,16.11,scattered clouds
121,Maldonado,UY,-34.67,-54.92,50.0,57,20,14.99,few clouds
122,Codrington,AU,-38.27,141.97,56.55,92,100,2.98,moderate rain
123,Airai,TL,-8.93,125.41,56.89,86,97,2.68,overcast clouds
124,Severnyy,RU,50.68,36.55,51.8,53,8,6.71,clear sky
125,Cape Town,ZA,-33.93,18.42,63.0,77,0,4.7,clear sky
126,Amazar,RU,53.86,120.88,31.75,95,91,7.11,overcast clouds
127,Wewak,PG,-3.55,143.63,77.11,87,17,7.94,few clouds
128,Bay City,US,43.59,-83.89,54.0,43,90,6.93,overcast clouds
129,Chico,US,39.73,-121.84,84.2,25,5,4.7,clear sky
130,Amahai,ID,-3.33,128.92,77.31,87,99,2.91,light rain
131,Abu Kamal,SY,34.45,40.92,72.93,32,0,3.91,clear sky
132,Souillac,MU,-20.52,57.52,71.6,88,40,3.36,scattered clouds
133,Bandarbeyla,SO,9.49,50.81,78.24,82,26,7.31,moderate rain
134,Cikupa,ID,-6.24,106.51,77.0,88,20,4.7,haze
135,Puerto Ayacucho,VE,5.66,-67.62,85.78,75,54,1.48,light rain
136,Port Hardy,CA,50.7,-127.42,55.4,93,90,4.94,mist
137,Longyearbyen,SJ,78.22,15.64,32.0,86,75,3.36,broken clouds
138,Ust-Barguzin,RU,53.45,108.98,30.61,92,39,3.18,scattered clouds
139,Kavieng,PG,-2.57,150.8,83.26,76,100,13.51,light rain
140,Elizabeth City,US,36.29,-76.25,71.6,40,20,13.87,few clouds
141,Saint-Paul,RE,-21.01,55.27,73.4,78,40,9.17,scattered clouds
142,Hithadhoo,MV,-0.6,73.08,83.34,73,100,11.05,overcast clouds
143,Saint George,US,37.1,-113.58,91.0,7,1,1.61,clear sky
144,Los Llanos De Aridane,ES,28.66,-17.92,73.4,83,40,17.22,scattered clouds
145,Kovernino,RU,57.13,43.81,49.08,86,100,4.88,overcast clouds
146,Weiser,US,44.25,-116.97,82.0,23,1,3.36,clear sky
147,Narsaq,GL,60.92,-46.05,37.4,74,40,6.93,scattered clouds
148,Peniche,PT,39.36,-9.38,61.0,85,5,1.99,clear sky
149,Bahia Blanca,AR,-38.72,-62.27,50.83,47,81,16.15,broken clouds
150,Urucui,BR,-7.23,-44.56,92.55,23,97,5.21,overcast clouds
151,Papetoai,PF,-17.5,-149.87,84.2,66,20,5.82,few clouds
152,Ossora,RU,59.24,163.07,40.87,65,3,3.15,clear sky
153,New Norfolk,AU,-42.78,147.06,50.0,92,100,0.74,light rain
154,Singkang,MY,2.1,102.8,77.0,94,20,1.45,few clouds
155,Medicine Hat,CA,50.05,-110.67,69.01,32,20,4.7,few clouds
156,Kulhudhuffushi,MV,6.62,73.07,81.5,72,100,10.4,overcast clouds
157,Muros,ES,42.78,-9.06,60.01,79,51,8.99,broken clouds
158,Dogondoutchi,NE,13.64,4.03,83.7,47,100,7.14,overcast clouds
159,Berlevag,NO,70.86,29.09,47.26,81,31,21.99,scattered clouds
160,Atar,MR,20.52,-13.05,89.01,22,0,11.77,clear sky
161,Olafsvik,IS,64.89,-23.71,43.07,82,95,11.03,overcast clouds
162,Karratha,AU,-20.74,116.85,58.3,34,90,15.55,overcast clouds
163,Tuatapere,NZ,-46.13,167.68,48.99,95,100,13.0,light rain
164,Walvis Bay,NA,-22.96,14.51,55.99,82,0,4.7,clear sky
165,Albany,US,42.6,-73.97,57.99,61,55,6.53,broken clouds
166,San Cristobal,VE,7.77,-72.22,89.6,52,40,8.05,scattered clouds
167,Zhigansk,RU,66.77,123.37,31.69,99,100,16.78,overcast clouds
168,Havre,FR,49.58,0.33,55.4,76,100,10.29,light rain
169,Matagami,CA,49.75,-77.63,42.8,52,90,4.7,overcast clouds
170,Raudeberg,NO,61.99,5.14,55.0,67,50,8.34,scattered clouds
171,Morros,BR,-9.45,-46.3,90.34,13,89,3.8,overcast clouds
172,Bardejov,SK,49.29,21.27,64.99,100,85,8.99,overcast clouds
173,Pitimbu,BR,-7.47,-34.81,80.6,69,20,13.87,few clouds
174,Sakakah,SA,29.97,40.21,82.4,20,0,4.7,clear sky
175,Antalaha,MG,-14.9,50.28,69.78,88,12,4.63,few clouds
176,Carora,VE,10.18,-70.08,87.96,47,69,8.46,broken clouds
177,Sitka,US,57.05,-135.33,53.6,87,75,6.35,mist
178,Vuktyl,RU,63.86,57.31,31.19,98,0,5.37,clear sky
179,Mangaldai,IN,26.43,92.03,77.9,88,15,1.21,light rain
180,Norman Wells,CA,65.28,-126.83,55.4,58,40,5.46,scattered clouds
181,Setermoen,NO,68.86,18.35,35.6,93,0,14.99,light rain
182,Tecoanapa,MX,16.52,-98.75,84.76,58,72,9.33,broken clouds
183,Bani,DO,18.28,-70.33,84.0,78,75,11.41,shower rain
184,Lagoa,PT,39.05,-27.98,68.95,87,78,16.71,broken clouds
