City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Sao Filipe,CV,2020-09-30 00:01:14,14.9,-24.5,79.68,74,10,9.4
71,Ancud,CL,2020-09-30 00:01:14,-41.87,-73.82,37.99,100,90,9.17
72,Mataura,NZ,2020-09-30 00:01:14,-46.19,168.86,46.99,93,100,8.99
73,Puerto Ayora,EC,2020-09-30 00:01:14,-0.74,-90.35,68.0,91,90,5.99
74,Novyy Rogachik,RU,2020-09-30 00:01:15,48.68,44.06,51.8,41,100,13.42
75,Pisco,PE,2020-09-30 00:01:15,-13.7,-76.22,64.4,77,40,19.46
76,Adrar,MR,2020-09-30 00:01:15,20.5,-10.07,91.92,18,0,8.72
77,Vaini,TO,2020-09-30 00:01:16,-21.2,-175.2,78.8,88,90,12.75
78,Saint-Joseph,RE,2020-09-30 00:01:16,-21.37,55.62,69.8,68,25,5.82
79,Hobart,AU,2020-09-29 23:57:32,-42.88,147.33,57.0,76,75,9.17
80,Khatanga,RU,2020-09-30 00:01:16,71.97,102.5,30.72,99,100,11.77
81,Bud,US,2020-09-30 00:01:17,39.45,-86.18,57.2,58,40,5.82
82,Arlit,NE,2020-09-30 00:01:17,18.74,7.39,93.27,11,0,4.63
83,Minden,DE,2020-09-30 00:01:17,52.28,8.92,57.2,93,90,2.24
84,Olafsvik,IS,2020-09-30 00:01:18,64.89,-23.71,40.62,83,83,9.95
85,Dudinka,RU,2020-09-30 00:01:18,69.41,86.18,32.0,94,100,13.42
86,Placido De Castro,BR,2020-09-30 00:01:18,-10.34,-67.19,76.06,83,100,3.02
87,Sambava,MG,2020-09-30 00:01:18,-14.27,50.17,73.35,83,31,8.59
88,Mackay,AU,2020-09-30 00:01:19,-21.15,149.2,77.0,50,0,16.11
89,Mahebourg,MU,2020-09-30 00:01:19,-20.41,57.7,71.6,88,75,8.05
90,Amapa,BR,2020-09-30 00:01:19,1.0,-52.0,79.38,62,43,4.68
91,Upernavik,GL,2020-09-30 00:01:20,72.79,-56.15,24.08,89,53,7.87
92,Sistranda,NO,2020-09-30 00:01:20,63.73,8.83,55.4,87,100,8.05
93,Souillac,MU,2020-09-30 00:01:20,-20.52,57.52,71.6,88,75,8.05
94,Naples,IT,2020-09-29 23:59:56,40.83,14.25,55.4,82,15,2.24
95,Narsaq,GL,2020-09-30 00:01:20,60.92,-46.05,30.2,63,0,1.12
96,Acheng,CN,2020-09-30 00:01:21,45.55,126.98,46.4,100,0,4.03
97,North Bend,US,2020-09-29 23:57:20,43.41,-124.22,77.0,56,75,4.7
98,Anyksciai,LT,2020-09-30 00:01:21,55.53,25.1,47.88,92,4,7.7
99,Carnarvon,AU,2020-09-30 00:01:22,-24.87,113.63,62.6,72,0,16.11
100,Calamar,CO,2020-09-30 00:01:22,10.25,-74.91,87.8,70,40,5.82
101,Vuktyl,RU,2020-09-30 00:01:22,63.86,57.31,43.18,93,14,4.94
102,Roald,NO,2020-09-30 00:01:22,62.58,6.13,51.8,100,100,2.24
103,Thompson,CA,2020-09-30 00:01:23,55.74,-97.86,55.4,62,75,18.34
104,Inirida,CO,2020-09-30 00:01:23,3.87,-67.92,77.45,83,87,2.26
105,Grindavik,IS,2020-09-30 00:01:23,63.84,-22.43,35.6,100,40,1.12
106,Castro,BR,2020-09-30 00:01:24,-24.79,-50.01,65.19,93,24,3.8
107,Maryville,US,2020-09-29 23:56:32,35.76,-83.97,60.8,77,75,5.82
108,Ostrovnoy,RU,2020-09-30 00:01:24,68.05,39.51,46.06,79,0,18.88
109,Hammerfest,NO,2020-09-30 00:01:24,70.66,23.68,48.2,87,46,6.93
110,Lata,PT,2020-09-30 00:01:25,40.16,-8.33,64.0,88,76,1.77
111,Doha,QA,2020-09-30 00:00:09,25.29,51.53,91.4,59,0,5.82
112,Aquiraz,BR,2020-09-30 00:01:25,-3.9,-38.39,80.6,78,40,11.41
113,Sawakin,SD,2020-09-30 00:01:25,19.11,37.33,83.1,68,0,1.23
114,Talnakh,RU,2020-09-30 00:01:26,69.49,88.4,32.0,96,88,13.42
115,Marmande,FR,2020-09-30 00:01:26,44.5,0.17,52.0,91,24,2.3
116,Sokoni,TZ,2020-09-30 00:01:26,-6.43,39.55,76.82,80,32,9.48
117,Taraz,KZ,2020-09-30 00:01:26,42.9,71.37,41.0,44,90,0.85
118,Samarai,PG,2020-09-30 00:01:27,-10.62,150.67,79.43,84,52,16.31
119,Arraial Do Cabo,BR,2020-09-29 23:59:53,-22.97,-42.03,75.2,88,75,4.7
120,High Level,CA,2020-09-30 00:01:27,58.52,-117.14,59.0,44,40,13.87
121,Vila Velha,BR,2020-09-30 00:01:27,-20.33,-40.29,81.0,83,75,8.05
122,Iralaya,HN,2020-09-30 00:01:28,15.0,-83.23,84.2,79,75,6.93
123,Aswan,EG,2020-09-30 00:01:28,24.09,32.91,81.48,21,0,3.29
124,Nha Trang,VN,2020-09-30 00:01:29,12.25,109.18,84.2,89,40,4.7
125,Gamboula,CF,2020-09-30 00:01:29,4.12,15.14,67.46,98,99,3.71
126,Alyangula,AU,2020-09-30 00:01:29,-13.85,136.42,84.2,70,40,10.29
127,Dunedin,NZ,2020-09-29 23:58:01,-45.87,170.5,48.99,62,87,18.01
128,Mabaruma,GY,2020-09-30 00:01:30,8.2,-59.78,77.09,87,41,4.61
129,Makat,KZ,2020-09-30 00:01:30,47.65,53.35,59.76,40,0,8.25
130,Mandiana,GN,2020-09-30 00:01:30,10.63,-8.68,74.23,88,39,4.65
131,Salalah,OM,2020-09-30 00:01:31,17.02,54.09,75.2,83,16,4.7
132,Cova Da Piedade,PT,2020-09-30 00:01:31,38.67,-9.16,64.99,72,100,5.82
133,Qui Nhon,VN,2020-09-30 00:01:31,13.77,109.23,79.79,79,100,5.53
134,Lavrentiya,RU,2020-09-30 00:01:31,65.58,-171.0,37.83,76,0,1.54
135,Greencastle,US,2020-09-30 00:01:32,39.64,-86.86,57.99,62,40,4.7
136,Parkes,AU,2020-09-30 00:01:32,-33.13,148.18,57.0,86,100,3.0
137,Pasighat,IN,2020-09-30 00:01:32,28.07,95.33,74.91,74,20,2.75
138,Hirado,JP,2020-09-30 00:01:33,33.36,129.55,75.99,83,40,2.24
139,Pundaguitan,PH,2020-09-30 00:01:33,6.37,126.17,82.49,75,96,9.13
140,Maragogi,BR,2020-09-29 23:58:15,-9.01,-35.22,74.57,78,9,9.19
141,Bengkulu,ID,2020-09-30 00:01:33,-3.8,102.27,76.39,83,75,8.1
142,Cayenne,GF,2020-09-30 00:00:09,4.93,-52.33,78.8,88,71,2.24
143,Pangnirtung,CA,2020-09-30 00:01:34,66.15,-65.71,27.59,87,0,3.89
144,Hithadhoo,MV,2020-09-30 00:01:34,-0.6,73.08,83.08,74,83,8.97
145,Klamath Falls,US,2020-09-30 00:01:34,42.22,-121.78,86.0,13,1,4.7
146,Vestmanna,FO,2020-09-30 00:01:35,62.16,-7.17,50.0,93,48,23.04
147,Vaitape,PF,2020-09-30 00:01:35,-16.52,-151.75,79.34,77,3,23.15
148,Lompoc,US,2020-09-30 00:00:41,34.64,-120.46,71.01,68,1,16.11
149,Esperance,AU,2020-09-30 00:01:35,-33.87,121.9,55.4,100,34,9.17
150,Leningradskiy,RU,2020-09-30 00:01:36,69.38,178.42,37.65,76,76,7.67
151,Pevek,RU,2020-09-30 00:01:36,69.7,170.31,38.62,76,100,19.93
152,Klaksvik,FO,2020-09-30 00:01:36,62.23,-6.59,50.0,93,27,23.04
