City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
235,Sur,OM,82.38,clear sky,22.57,59.53,Sur Plaza Hotel
240,Jalu,LY,86.63,clear sky,29.03,21.55,Jalu Hotel
246,Half Moon Bay,US,84.99,smoke,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
250,Natal,BR,80.6,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
252,Narasannapeta,IN,78.24,light rain,18.42,84.05,G.lingaraju home
255,Mumford,GH,76.8,scattered clouds,5.26,-0.76,Spanish Villa
256,Sokoto,NG,76.12,overcast clouds,13.06,5.24,RG Palace
258,Awbari,LY,83.57,scattered clouds,26.59,12.78,فندق أوباري
261,Kibala,TD,82.4,scattered clouds,9.11,18.35,
262,Laguna,US,86.0,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
265,Oistins,BB,86.0,few clouds,13.07,-59.53,Butterfly Beach Hotel
267,Grants,US,78.8,clear sky,35.15,-107.85,"Motel 6 Grants, NM"
273,Bequimao,BR,84.2,few clouds,-2.45,-44.78,Hotel e Restaurante Brisamar
275,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
278,Cabedelo,BR,80.6,few clouds,-6.98,-34.83,Lua Mansa Pousada
282,Sao Jose Da Coroa Grande,BR,76.1,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
283,Locri,IT,78.8,overcast clouds,38.24,16.26,Grand Hotel President
289,Port-Gentil,GA,78.8,scattered clouds,-0.72,8.78,Fengshui Residence
292,Kalmunai,LK,79.56,overcast clouds,7.42,81.82,VS Villa
294,Bintulu,MY,75.2,scattered clouds,3.17,113.03,900 Boutique INN
300,San Quintin,MX,85.87,clear sky,30.48,-115.95,Old Mill Hotel
302,Bonthe,SL,78.24,light rain,7.53,-12.51,Bonthe Holiday Village
306,Chake Chake,TZ,75.65,clear sky,-5.25,39.77,Hotel Archipelago
308,Minchinabad,PK,78.28,clear sky,30.16,73.57,Ayyaz House
313,Dingle,PH,76.19,moderate rain,11.0,122.67,Camp Pasica
327,Mamu Kanjan,PK,76.98,clear sky,30.83,72.8,Malik Taj Iron Store
328,Marsh Harbour,BS,83.55,overcast clouds,26.54,-77.06,Abaco Beach Resort
339,Yanam,IN,77.56,overcast clouds,16.73,82.22,The Regency Hotel
341,Abonnema,NG,76.95,overcast clouds,4.71,6.79,Corper's Lodge Obonoma
343,Vila Do Maio,CV,78.8,broken clouds,15.13,-23.22,Residence 'I Delfini'
347,Puerto Rondon,CO,86.43,light rain,6.28,-71.1,HOTEL CAMINO REAL
348,Hambantota,LK,77.0,scattered clouds,6.12,81.12,Bungalow 63
351,Namatanai,PG,81.45,overcast clouds,-3.67,152.43,Namatanai Hotel
352,Morant Bay,JM,87.8,scattered clouds,17.88,-76.41,Whispering Bamboo Cove Resort
362,Nioro,GM,80.33,scattered clouds,13.35,-15.75,
366,Mangochi,MW,78.46,clear sky,-14.48,35.26,Eunice Guesthouse
367,Acarau,BR,79.38,overcast clouds,-2.89,-40.12,castelo pizzaria
368,Tautira,PF,84.2,few clouds,-17.73,-149.15,Pension Oaoa
371,Paka,MY,77.0,overcast clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
372,Aquiraz,BR,84.2,broken clouds,-3.9,-38.39,Hotel Laguna Blu
379,Basco,PH,83.43,light rain,20.45,121.97,Nathaniel's Lodge
382,Pasir Gudang,MY,84.2,broken clouds,1.46,103.88,Swan Garden Hotel
383,Kailua,US,84.2,few clouds,21.4,-157.74,Sheffield House Bed & Breakfast
393,Aden,YE,84.79,clear sky,12.78,45.04,Sama Emirate Hotel
397,Marsa Matruh,EG,77.0,clear sky,31.35,27.25,Beau Site
398,Luganville,VU,77.0,broken clouds,-15.53,167.17,The Espiritu Hotel
400,Sarangani,PH,84.22,overcast clouds,5.4,125.46,Ballistic Islet
402,Limbang,MY,77.0,broken clouds,4.75,115.0,Purnama Hotel
403,Poli,TZ,75.2,few clouds,-3.33,36.8,Peace Matunda Campsite and Backpackers
405,Vanimo,PG,77.94,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
411,Tutoia,BR,79.95,broken clouds,-2.76,-42.27,Pousada Guará's
413,Arraial Do Cabo,BR,75.2,mist,-22.97,-42.03,Pousada Porto Praia
415,Sorong,ID,77.94,overcast clouds,-0.88,131.25,The Waigo Hotel
419,Puerto Rico,AR,78.01,few clouds,-26.8,-55.02,Hotel Cabañas del Prado
420,Wenling,CN,77.0,clear sky,28.37,121.36,Hanting Express Wenling Wanchang North Road
421,Mathbaria,BD,79.97,overcast clouds,22.29,89.96,বাহাদুরের চায়ের ষ্টোর
423,Sonari,IN,75.34,light rain,27.07,95.03,Sonari College Girls Hostel
424,Nisia Floresta,BR,80.6,overcast clouds,-6.09,-35.21,Rancho Crepusculo
426,Nautla,MX,81.39,clear sky,20.22,-96.78,Casa Blanca
427,Turan,VN,78.8,scattered clouds,16.07,108.22,Grand Mercure Danang
428,Gorontalo,ID,75.29,broken clouds,0.54,123.06,Maqna Hotel by Prasanthi
429,Sola,VU,78.35,few clouds,-13.88,167.55,Leumerus Bungalows
431,Lago Da Pedra,BR,88.2,overcast clouds,-4.33,-45.17,
432,Celestun,MX,79.5,light rain,20.87,-90.4,Posada Lilia
433,Sharjah,AE,89.01,clear sky,25.36,55.4,Swiss Belhotel Sharjah
434,Nicolas Bravo,MX,84.2,overcast clouds,18.45,-88.92,
435,Hobyo,SO,79.66,moderate rain,5.35,48.53,Osmani Hotel
436,Pandan,PH,80.64,overcast clouds,14.05,124.17,Bonifacio Lodge
438,Eyl,SO,79.07,broken clouds,7.98,49.82,Amiin Hotel
444,Arawa,PG,78.8,clear sky,-6.21,155.54,Coastline Guest House
446,Mabama,TZ,77.0,few clouds,-5.13,32.53,
452,Touros,BR,80.6,overcast clouds,-5.2,-35.46,INN NEW HORIZON
453,Lamesa,US,86.0,scattered clouds,32.74,-101.95,Shiloh Inn Lamesa
455,Augusto Correa,BR,80.58,overcast clouds,-1.02,-46.63,Fazenda Bacuri
463,Kralendijk,BQ,86.0,overcast clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
466,Biltine,TD,87.15,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
470,Vila Velha,BR,82.99,clear sky,-20.33,-40.29,Hotel Vitória Palace
482,Bucerias,MX,90.0,clear sky,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
487,Itarema,BR,79.14,overcast clouds,-2.92,-39.92,Windvillage
489,Binga,ZW,78.35,clear sky,-17.62,27.34,Lakeview Inn Binga
490,Dinghai,CN,75.2,few clouds,26.28,119.79,
500,Meulaboh,ID,77.11,overcast clouds,4.14,96.13,Kost Pria
508,Canutama,BR,78.33,overcast clouds,-6.53,-64.38,Hotel Jhennifer
509,Tiruchchendur,IN,80.22,scattered clouds,8.48,78.12,Hotel Udhayam International
514,Selma,US,87.8,smoke,36.57,-119.61,Holiday Inn Selma-Swancourt
520,Srivardhan,IN,78.57,broken clouds,18.03,73.02,Savli Resort/Hotel - Shrivardhan
526,Nokaneng,BW,79.41,clear sky,-19.67,22.27,
537,Thinadhoo,MV,82.8,heavy intensity rain,0.53,72.93,
544,Umm Lajj,SA,85.28,clear sky,25.02,37.27,Moon light Furnished Units
548,Cabudare,VE,84.2,scattered clouds,10.03,-69.09,Urbanización Ribera Santa Lucia
549,Phibun Mangsahan,TH,78.8,overcast clouds,15.24,105.23,ซันนี่ รีสอร์ท
551,Jacqueville,CI,78.8,few clouds,5.21,-4.41,Hotel Le Martin Pecheur
561,Mayumba,GA,77.16,overcast clouds,-3.43,10.66,LIKWALE LODGE
564,Mitsamiouli,KM,77.13,clear sky,-11.38,43.28,Foyer ADM
565,Wattegama,LK,77.0,scattered clouds,6.8,81.48,
568,Lorengau,PG,82.74,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
573,Charagua,BO,85.5,clear sky,-19.8,-63.22,Residencial Luismar
575,Tiarei,PF,84.2,few clouds,-17.53,-149.33,Le Rocher de Tahiti
581,Yenagoa,NG,75.78,overcast clouds,4.92,6.26,Amba Hotels Limited
582,Lakes Entrance,AU,77.0,broken clouds,-37.88,147.98,The Esplanade Resort & Spa
583,Luau,AO,75.81,clear sky,-10.71,22.22,Kimbo Hotel
585,Sinnamary,GF,81.97,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
587,Houston,US,86.0,clear sky,29.76,-95.36,"Hotel ICON, Autograph Collection"
588,Manokwari,ID,79.38,moderate rain,-0.87,134.08,Swiss Belhotel Manokwari
593,Dayong,CN,77.0,broken clouds,25.02,118.29,Haiyue Express Hotel
594,San Lazaro,BZ,84.2,overcast clouds,18.04,-88.66,
595,Humboldt,US,87.01,clear sky,40.67,-123.92,
597,Kilindoni,TZ,77.32,clear sky,-7.91,39.67,Bustani B&B
598,Carutapera,BR,80.85,overcast clouds,-1.2,-46.02,Lidera
599,Buala,SB,82.02,clear sky,-8.14,159.59,Maringe Lagoon Lodge
602,Sao Filipe,CV,79.72,clear sky,14.9,-24.5,Tortuga B&B
604,Simbahan,PH,84.13,light rain,6.3,120.58,
